sandwich_type,bun_type,fillings,protein,sauce,toppings,spices,side_dish,drink,price
chicken,brioche,lettuce,chicken,mayo,lettuce,salt,chips,water,7.27
chicken,brioche,lettuce,chicken,mustard,tomato,salt,salad,water,12.66
turkey,brioche,lettuce,beef,mustard,lettuce,pepper,salad,water,5.16
turkey,brioche,mustard,chicken,mustard,cheese,pepper,chips,water,6.02
turkey,brioche,mustard,beef,mayo,cheese,pepper,salad,soda,11.98
turkey,brioche,mustard,beef,mayo,cheese,pepper,salad,water,11.58
chicken,brioche,mustard,turkey,mayo,tomato,salt,salad,water,12.81
chicken,brioche,cheese,turkey,mustard,tomato,salt,salad,water,5.77
chicken,brioche,lettuce,chicken,mustard,cheese,salt,chips,water,13.19
chicken,brioche,mayo,chicken,mustard,tomato,salt,salad,soda,7.99
chicken,brioche,mayo,chicken,mustard,cheese,pepper,chips,water,14.86
turkey,brioche,lettuce,chicken,mustard,tomato,pepper,chips,soda,14.11
chicken,brioche,mayo,beef,mustard,cheese,pepper,chips,water,13.48
turkey,brioche,mayo,chicken,mayo,lettuce,salt,chips,soda,6.55
turkey,brioche,mustard,chicken,mayo,cheese,salt,chips,soda,12.84
turkey,brioche,tomato,beef,mustard,lettuce,salt,chips,water,9.07
chicken,brioche,mayo,beef,mayo,cheese,pepper,chips,water,6.08
chicken,brioche,tomato,turkey,mayo,cheese,salt,salad,soda,14.7
chicken,brioche,lettuce,chicken,mayo,lettuce,salt,chips,water,9.09
turkey,brioche,mustard,beef,mayo,cheese,salt,chips,water,5.3
chicken,brioche,lettuce,chicken,mayo,tomato,pepper,salad,water,9.35
chicken,brioche,mustard,beef,mayo,lettuce,pepper,salad,soda,13.97
turkey,brioche,mayo,turkey,mustard,cheese,pepper,chips,water,6.25
chicken,brioche,mustard,turkey,mustard,tomato,salt,chips,soda,14.62
chicken,brioche,mayo,turkey,mayo,cheese,pepper,salad,soda,7.38
turkey,brioche,tomato,chicken,mustard,cheese,salt,chips,water,14.62
turkey,brioche,mustard,beef,mayo,lettuce,pepper,salad,soda,12.61
chicken,brioche,cheese,chicken,mustard,tomato,pepper,salad,water,14.73
chicken,brioche,mayo,beef,mayo,cheese,salt,salad,soda,13.84
turkey,brioche,lettuce,beef,mayo,lettuce,salt,salad,water,5.59
turkey,brioche,tomato,chicken,mustard,lettuce,salt,salad,water,7.56
chicken,brioche,tomato,beef,mustard,lettuce,pepper,salad,soda,5.45
turkey,brioche,lettuce,turkey,mayo,cheese,salt,salad,soda,9.56
chicken,brioche,mayo,turkey,mustard,tomato,pepper,salad,soda,9.85
turkey,brioche,mayo,turkey,mustard,lettuce,pepper,salad,water,11.7
turkey,brioche,mayo,turkey,mayo,cheese,pepper,chips,water,11.49
turkey,brioche,cheese,chicken,mayo,cheese,salt,salad,soda,9.58
turkey,brioche,cheese,turkey,mustard,cheese,pepper,salad,soda,14.12
chicken,brioche,tomato,beef,mustard,cheese,pepper,chips,water,11.49
chicken,brioche,mustard,chicken,mustard,cheese,pepper,chips,soda,14.2
turkey,brioche,cheese,beef,mayo,cheese,pepper,chips,soda,14.03
chicken,brioche,lettuce,beef,mayo,cheese,pepper,chips,water,13.38
chicken,brioche,lettuce,chicken,mustard,lettuce,pepper,salad,soda,14.8
chicken,brioche,lettuce,chicken,mayo,cheese,salt,salad,water,9.76
turkey,brioche,lettuce,chicken,mustard,tomato,pepper,salad,soda,5.15
turkey,brioche,lettuce,beef,mustard,lettuce,pepper,chips,water,11.46
turkey,brioche,mustard,chicken,mayo,cheese,salt,chips,soda,9.64
chicken,brioche,cheese,chicken,mayo,tomato,salt,salad,water,11.98
turkey,brioche,cheese,turkey,mustard,lettuce,salt,chips,soda,13.16
turkey,brioche,cheese,beef,mayo,tomato,pepper,salad,soda,8.42
chicken,brioche,mayo,beef,mustard,lettuce,pepper,chips,water,14.76
chicken,brioche,cheese,chicken,mayo,cheese,salt,chips,water,10.97
chicken,brioche,cheese,chicken,mustard,lettuce,pepper,salad,soda,14.92
chicken,brioche,cheese,chicken,mustard,tomato,salt,salad,water,14.19
chicken,brioche,mustard,turkey,mayo,tomato,pepper,chips,water,9.71
turkey,brioche,tomato,chicken,mayo,tomato,pepper,chips,soda,9.75
turkey,brioche,cheese,turkey,mayo,tomato,salt,salad,water,14.11
turkey,brioche,mustard,chicken,mayo,cheese,salt,salad,water,12.26
chicken,brioche,mustard,beef,mustard,tomato,salt,salad,soda,12.68
chicken,brioche,tomato,chicken,mayo,lettuce,pepper,salad,soda,6.85
turkey,brioche,mustard,turkey,mayo,cheese,pepper,salad,water,12.41
turkey,brioche,tomato,beef,mustard,tomato,pepper,salad,water,14.9
turkey,brioche,cheese,turkey,mustard,lettuce,salt,chips,water,11.08
turkey,brioche,cheese,chicken,mayo,lettuce,salt,salad,soda,9.11
chicken,brioche,tomato,chicken,mustard,cheese,pepper,salad,water,6.67
turkey,brioche,mayo,beef,mayo,tomato,salt,chips,water,12.31
turkey,brioche,mustard,chicken,mayo,cheese,salt,salad,soda,7.19
turkey,brioche,lettuce,turkey,mustard,cheese,salt,chips,water,7.9
chicken,brioche,mustard,chicken,mayo,tomato,pepper,salad,soda,14.52
chicken,brioche,lettuce,beef,mayo,cheese,pepper,salad,soda,7.83
turkey,brioche,lettuce,beef,mustard,lettuce,salt,salad,water,7.76
turkey,brioche,mustard,beef,mustard,tomato,pepper,salad,soda,10.22
chicken,brioche,tomato,turkey,mayo,tomato,pepper,salad,soda,8.61
turkey,brioche,cheese,chicken,mustard,tomato,salt,chips,water,5.05
turkey,brioche,mayo,chicken,mayo,lettuce,pepper,chips,soda,11.67
chicken,brioche,cheese,chicken,mayo,tomato,pepper,chips,water,8.06
turkey,brioche,cheese,turkey,mustard,lettuce,pepper,chips,water,7.62
chicken,brioche,mustard,beef,mustard,cheese,salt,salad,soda,9.43
chicken,brioche,cheese,chicken,mayo,cheese,pepper,chips,water,8.15
turkey,brioche,lettuce,turkey,mustard,cheese,salt,salad,soda,6.14
chicken,brioche,lettuce,beef,mustard,tomato,salt,salad,water,6.24
turkey,brioche,mustard,beef,mustard,tomato,pepper,chips,water,13.56
turkey,brioche,mayo,turkey,mustard,lettuce,salt,chips,soda,5.81
chicken,brioche,mustard,beef,mustard,tomato,pepper,salad,water,9.34
turkey,brioche,mayo,chicken,mayo,cheese,pepper,chips,soda,5.39
turkey,brioche,cheese,beef,mustard,tomato,salt,chips,water,11.51
chicken,brioche,tomato,chicken,mayo,tomato,salt,salad,water,10.67
chicken,brioche,tomato,beef,mustard,tomato,salt,chips,water,5.49
chicken,brioche,tomato,beef,mustard,lettuce,salt,salad,soda,7.68
chicken,brioche,mayo,chicken,mustard,cheese,pepper,chips,soda,6.24
chicken,brioche,mayo,chicken,mayo,tomato,pepper,chips,soda,9.89
turkey,brioche,tomato,turkey,mayo,tomato,salt,chips,soda,11.41
chicken,brioche,lettuce,chicken,mayo,cheese,pepper,chips,water,11.67
chicken,brioche,tomato,turkey,mayo,cheese,pepper,chips,soda,5.66
turkey,brioche,cheese,turkey,mustard,tomato,salt,chips,water,12.94
chicken,brioche,mustard,beef,mayo,cheese,pepper,salad,soda,8.57
chicken,brioche,lettuce,chicken,mustard,cheese,salt,chips,soda,10.73
chicken,brioche,tomato,beef,mayo,tomato,salt,salad,soda,5.43
turkey,brioche,mustard,beef,mustard,cheese,salt,chips,water,12.69
chicken,brioche,lettuce,chicken,mayo,lettuce,pepper,chips,water,14.03
chicken,brioche,mustard,beef,mustard,cheese,salt,salad,water,7.78
turkey,brioche,mayo,chicken,mustard,lettuce,pepper,chips,water,8.08
chicken,brioche,cheese,beef,mustard,tomato,pepper,salad,soda,7.92
chicken,brioche,mustard,chicken,mayo,cheese,pepper,salad,water,6.8
chicken,brioche,mustard,turkey,mustard,lettuce,salt,chips,water,14.71
turkey,brioche,tomato,turkey,mustard,cheese,pepper,salad,soda,10.06
chicken,brioche,lettuce,beef,mayo,cheese,salt,chips,water,13.9
turkey,brioche,mayo,turkey,mayo,tomato,pepper,salad,water,7.51
turkey,brioche,cheese,chicken,mayo,cheese,pepper,chips,soda,12.48
turkey,brioche,cheese,chicken,mustard,cheese,pepper,salad,soda,5.99
turkey,brioche,mustard,turkey,mustard,lettuce,salt,salad,water,10.57
chicken,brioche,mayo,beef,mayo,lettuce,pepper,chips,water,6.29
chicken,brioche,mustard,beef,mayo,tomato,pepper,salad,soda,5.63
turkey,brioche,lettuce,chicken,mayo,cheese,salt,salad,water,7.55
turkey,brioche,mayo,chicken,mayo,cheese,salt,salad,water,5.29
turkey,brioche,mayo,beef,mustard,tomato,salt,chips,soda,6.73
turkey,brioche,tomato,turkey,mustard,tomato,pepper,salad,water,7.57
turkey,brioche,mustard,turkey,mayo,cheese,pepper,salad,water,13.32
chicken,brioche,mayo,chicken,mustard,cheese,salt,salad,soda,9.64
turkey,brioche,mustard,chicken,mustard,lettuce,salt,salad,water,13.1
turkey,brioche,tomato,chicken,mayo,cheese,pepper,chips,water,7.74
turkey,brioche,tomato,chicken,mayo,tomato,pepper,chips,water,9.34
turkey,brioche,tomato,turkey,mayo,tomato,salt,salad,water,8.07
chicken,brioche,lettuce,beef,mayo,cheese,pepper,chips,water,12.6
turkey,brioche,cheese,chicken,mustard,lettuce,pepper,chips,water,8.66
chicken,brioche,cheese,turkey,mustard,lettuce,salt,salad,soda,14.05
turkey,brioche,tomato,turkey,mustard,tomato,salt,chips,water,13.34
turkey,brioche,tomato,beef,mayo,lettuce,pepper,chips,water,9.67
chicken,brioche,tomato,beef,mayo,cheese,pepper,chips,soda,6.7
chicken,brioche,tomato,beef,mustard,tomato,pepper,salad,water,11.99
turkey,brioche,mayo,beef,mustard,cheese,salt,salad,water,14.22
chicken,brioche,tomato,turkey,mayo,tomato,salt,salad,water,11.15
chicken,brioche,cheese,beef,mayo,cheese,pepper,chips,soda,8.12
chicken,brioche,lettuce,chicken,mustard,cheese,salt,salad,water,5.46
turkey,brioche,tomato,beef,mustard,lettuce,pepper,salad,water,12.23
chicken,brioche,mayo,beef,mayo,tomato,pepper,salad,soda,5.01
turkey,brioche,mayo,beef,mustard,lettuce,pepper,chips,water,9.89
turkey,brioche,mustard,turkey,mustard,tomato,salt,chips,soda,11.58
turkey,brioche,cheese,beef,mayo,lettuce,salt,chips,water,14.14
chicken,brioche,mustard,chicken,mustard,tomato,pepper,chips,water,13.43
chicken,brioche,cheese,turkey,mayo,cheese,salt,salad,soda,7.24
chicken,brioche,lettuce,chicken,mayo,cheese,salt,salad,soda,5.9
chicken,brioche,tomato,turkey,mustard,tomato,pepper,chips,water,13.41
chicken,brioche,mustard,chicken,mayo,lettuce,salt,chips,water,7.87
chicken,brioche,mustard,beef,mustard,cheese,pepper,chips,soda,12.25
chicken,brioche,cheese,chicken,mayo,cheese,salt,chips,soda,14.35
turkey,brioche,mayo,beef,mustard,cheese,salt,salad,soda,13.27
chicken,brioche,tomato,beef,mustard,cheese,salt,chips,soda,7.32
chicken,brioche,cheese,turkey,mustard,cheese,salt,salad,soda,6.29
chicken,brioche,lettuce,turkey,mustard,lettuce,pepper,salad,water,13.16
turkey,brioche,mayo,turkey,mustard,cheese,salt,salad,water,10.29
chicken,brioche,mayo,turkey,mustard,tomato,salt,chips,soda,10.71
chicken,brioche,tomato,chicken,mustard,lettuce,salt,salad,soda,14.16
chicken,brioche,mustard,turkey,mustard,cheese,salt,salad,soda,10.87
turkey,brioche,mayo,beef,mustard,tomato,pepper,chips,soda,11.69
chicken,brioche,cheese,beef,mayo,tomato,salt,chips,water,14.27
turkey,brioche,mustard,chicken,mayo,cheese,pepper,chips,water,10.79
turkey,brioche,lettuce,chicken,mustard,cheese,pepper,chips,soda,13.74
turkey,brioche,mustard,beef,mayo,cheese,pepper,chips,water,5.81
turkey,brioche,tomato,chicken,mayo,cheese,salt,chips,water,10.37
chicken,brioche,lettuce,chicken,mustard,lettuce,salt,salad,water,5.11
chicken,brioche,lettuce,beef,mustard,tomato,salt,chips,water,14.95
chicken,brioche,lettuce,turkey,mayo,lettuce,pepper,chips,water,14.72
chicken,brioche,lettuce,turkey,mayo,cheese,salt,chips,water,7.82
chicken,brioche,mustard,beef,mayo,cheese,salt,salad,water,10.23
chicken,brioche,lettuce,chicken,mustard,cheese,salt,salad,soda,11.11
turkey,brioche,cheese,beef,mustard,lettuce,pepper,chips,water,12.84
turkey,brioche,cheese,chicken,mayo,tomato,pepper,chips,water,11.76
chicken,brioche,mayo,turkey,mayo,lettuce,pepper,chips,water,12.93
chicken,brioche,mayo,chicken,mayo,tomato,pepper,chips,soda,11.32
chicken,brioche,tomato,chicken,mayo,tomato,pepper,salad,water,5.36
chicken,brioche,mustard,chicken,mayo,lettuce,salt,salad,soda,12.46
chicken,brioche,lettuce,beef,mustard,cheese,salt,salad,soda,12.34
chicken,brioche,mayo,turkey,mustard,tomato,pepper,chips,soda,7.3
chicken,brioche,mustard,beef,mayo,cheese,pepper,salad,water,11.4
chicken,brioche,tomato,beef,mustard,cheese,pepper,salad,water,5.35
chicken,brioche,mayo,turkey,mustard,tomato,salt,salad,soda,13.18
chicken,brioche,tomato,chicken,mayo,lettuce,salt,salad,water,5.87
chicken,brioche,lettuce,beef,mustard,tomato,pepper,salad,water,13.92
chicken,brioche,mayo,chicken,mayo,lettuce,pepper,salad,soda,14.49
chicken,brioche,tomato,beef,mustard,tomato,salt,salad,water,5.09
chicken,brioche,mustard,turkey,mayo,lettuce,pepper,chips,soda,13.3
chicken,brioche,cheese,turkey,mayo,cheese,salt,chips,soda,5.62
chicken,brioche,lettuce,chicken,mustard,lettuce,pepper,salad,water,10.52
chicken,brioche,mayo,beef,mustard,lettuce,pepper,chips,water,9.64
turkey,brioche,tomato,beef,mayo,cheese,salt,salad,soda,9.81
turkey,brioche,cheese,beef,mustard,tomato,salt,salad,water,12.59
turkey,brioche,lettuce,chicken,mustard,lettuce,salt,salad,water,10.49
turkey,brioche,mustard,turkey,mustard,cheese,pepper,chips,water,8.75
chicken,brioche,mustard,turkey,mustard,cheese,salt,chips,water,13.35
turkey,brioche,mustard,turkey,mayo,lettuce,pepper,chips,water,14.31
chicken,brioche,mustard,chicken,mayo,cheese,pepper,salad,soda,12.24
chicken,brioche,lettuce,turkey,mustard,cheese,pepper,salad,water,7.3
turkey,brioche,tomato,beef,mustard,cheese,salt,salad,water,8.97
turkey,brioche,tomato,turkey,mayo,lettuce,salt,chips,soda,12.49
turkey,brioche,cheese,beef,mustard,lettuce,pepper,salad,water,12.68
chicken,brioche,cheese,chicken,mayo,lettuce,salt,salad,water,8.35
chicken,brioche,mayo,turkey,mayo,cheese,pepper,chips,soda,12.34
chicken,brioche,lettuce,beef,mustard,tomato,pepper,chips,soda,13.21
chicken,brioche,lettuce,turkey,mustard,tomato,salt,salad,soda,9.71
turkey,brioche,mayo,turkey,mayo,lettuce,pepper,salad,soda,10.71
chicken,brioche,lettuce,turkey,mayo,cheese,pepper,chips,soda,10.74
chicken,brioche,tomato,chicken,mayo,lettuce,pepper,chips,water,10.94
turkey,brioche,lettuce,beef,mayo,cheese,pepper,chips,water,5.14
chicken,brioche,mayo,turkey,mayo,tomato,salt,chips,soda,13.05
turkey,brioche,tomato,beef,mayo,lettuce,pepper,chips,soda,6.01
turkey,brioche,mayo,beef,mustard,lettuce,pepper,chips,soda,8.9
chicken,brioche,cheese,chicken,mustard,cheese,salt,chips,water,8.37
turkey,brioche,mayo,beef,mayo,tomato,salt,chips,soda,12.17
chicken,brioche,lettuce,turkey,mustard,cheese,pepper,salad,soda,11.94
chicken,brioche,tomato,beef,mustard,cheese,pepper,chips,water,11.81
chicken,brioche,mustard,turkey,mustard,tomato,salt,chips,soda,8.94
turkey,brioche,cheese,beef,mayo,cheese,salt,salad,water,7.27
chicken,brioche,mayo,beef,mayo,lettuce,pepper,chips,water,5.39
turkey,brioche,mustard,beef,mustard,lettuce,salt,salad,soda,9.08
turkey,brioche,tomato,beef,mayo,tomato,pepper,salad,water,6.1
turkey,brioche,lettuce,beef,mayo,tomato,salt,chips,soda,12.96
turkey,brioche,lettuce,chicken,mustard,tomato,salt,chips,soda,9.52
chicken,brioche,tomato,turkey,mustard,cheese,salt,chips,water,12.59
turkey,brioche,mustard,chicken,mayo,tomato,salt,salad,soda,7.22
turkey,brioche,tomato,turkey,mustard,cheese,salt,chips,water,13.01
chicken,brioche,lettuce,turkey,mayo,tomato,pepper,chips,soda,13.37
chicken,brioche,mustard,turkey,mustard,cheese,salt,salad,soda,8.02
chicken,brioche,lettuce,chicken,mustard,lettuce,salt,salad,soda,9.87
turkey,brioche,tomato,chicken,mayo,lettuce,pepper,salad,water,13.14
turkey,brioche,lettuce,chicken,mustard,lettuce,salt,salad,soda,11.26
chicken,brioche,tomato,turkey,mayo,lettuce,pepper,chips,soda,5.7
chicken,brioche,mayo,chicken,mayo,lettuce,salt,salad,soda,5.85
chicken,brioche,tomato,chicken,mustard,lettuce,pepper,salad,water,12.92
turkey,brioche,mayo,turkey,mayo,cheese,salt,salad,water,5.81
chicken,brioche,mustard,turkey,mustard,lettuce,pepper,chips,soda,10.34
chicken,brioche,lettuce,chicken,mayo,cheese,pepper,salad,soda,11.44
turkey,brioche,mustard,chicken,mustard,cheese,salt,salad,soda,9.93
chicken,brioche,mayo,turkey,mayo,lettuce,pepper,salad,water,11.62
chicken,brioche,cheese,chicken,mayo,lettuce,pepper,chips,soda,8.71
turkey,brioche,mayo,turkey,mustard,lettuce,salt,salad,soda,7.38
chicken,brioche,mustard,chicken,mustard,cheese,pepper,salad,soda,10.63
chicken,brioche,mayo,chicken,mustard,tomato,pepper,chips,soda,14.2
turkey,brioche,lettuce,turkey,mustard,lettuce,salt,salad,soda,13.72
turkey,brioche,mayo,chicken,mustard,tomato,salt,salad,water,13.64
turkey,brioche,mayo,turkey,mustard,tomato,pepper,chips,soda,11.93
chicken,brioche,mayo,chicken,mustard,lettuce,salt,chips,water,7.36
chicken,brioche,cheese,turkey,mustard,cheese,salt,chips,soda,12.81
chicken,brioche,cheese,beef,mayo,tomato,pepper,salad,water,10.49
turkey,brioche,lettuce,beef,mayo,cheese,pepper,salad,soda,9.08
turkey,brioche,cheese,chicken,mustard,cheese,salt,chips,soda,10.3
turkey,brioche,tomato,chicken,mayo,tomato,salt,salad,soda,8.53
chicken,brioche,mayo,chicken,mayo,tomato,pepper,chips,soda,7.42
chicken,brioche,cheese,turkey,mayo,tomato,pepper,salad,water,11.78
turkey,brioche,tomato,turkey,mayo,lettuce,pepper,salad,soda,5.81
chicken,brioche,mustard,beef,mayo,cheese,pepper,chips,soda,13.18
turkey,brioche,mustard,beef,mayo,tomato,salt,chips,soda,9.98
chicken,brioche,mustard,chicken,mustard,tomato,pepper,chips,soda,5.44
chicken,brioche,mustard,beef,mustard,tomato,salt,salad,water,11.62
chicken,brioche,mayo,turkey,mustard,tomato,salt,chips,water,12.61
turkey,brioche,tomato,beef,mayo,tomato,pepper,salad,water,13.22
chicken,brioche,mustard,beef,mayo,lettuce,pepper,chips,water,5.58
chicken,brioche,cheese,beef,mustard,tomato,salt,salad,soda,11.07
chicken,brioche,lettuce,chicken,mustard,cheese,salt,chips,water,8.23
chicken,brioche,mayo,chicken,mustard,tomato,pepper,chips,water,14.52
chicken,brioche,cheese,beef,mayo,tomato,salt,salad,water,10.89
turkey,brioche,lettuce,beef,mayo,lettuce,pepper,chips,water,10.47
turkey,brioche,mayo,beef,mustard,tomato,salt,chips,soda,5.4
turkey,brioche,cheese,chicken,mustard,cheese,pepper,chips,soda,12.8
chicken,brioche,cheese,turkey,mayo,cheese,salt,chips,soda,13.37
turkey,brioche,tomato,chicken,mayo,lettuce,salt,salad,soda,7.72
turkey,brioche,cheese,chicken,mustard,lettuce,salt,chips,soda,8.53
turkey,brioche,mayo,chicken,mustard,tomato,pepper,salad,soda,9.25
turkey,brioche,lettuce,chicken,mayo,lettuce,salt,salad,water,13.1
turkey,brioche,cheese,chicken,mayo,tomato,pepper,salad,soda,10.91
chicken,brioche,lettuce,chicken,mustard,tomato,pepper,chips,soda,8.3
chicken,brioche,tomato,turkey,mustard,lettuce,salt,salad,water,8.49
chicken,brioche,lettuce,beef,mayo,cheese,pepper,chips,soda,14.45
chicken,brioche,mustard,turkey,mustard,lettuce,salt,salad,water,5.81
turkey,brioche,tomato,turkey,mayo,lettuce,pepper,chips,water,11.28
chicken,brioche,mustard,beef,mayo,cheese,pepper,chips,soda,14.61
chicken,brioche,lettuce,chicken,mayo,lettuce,salt,chips,soda,14.71
chicken,brioche,mustard,turkey,mustard,lettuce,pepper,salad,water,11.12
turkey,brioche,mustard,chicken,mayo,cheese,pepper,chips,soda,11.52
chicken,brioche,mayo,turkey,mayo,lettuce,salt,chips,water,11.85
chicken,brioche,mustard,chicken,mustard,tomato,salt,chips,water,7.5
chicken,brioche,tomato,turkey,mayo,lettuce,pepper,chips,water,10.59
turkey,brioche,cheese,turkey,mayo,lettuce,pepper,chips,water,8.88
turkey,brioche,tomato,chicken,mayo,tomato,salt,chips,water,9.69
turkey,brioche,tomato,chicken,mayo,tomato,pepper,salad,soda,13.84
turkey,brioche,tomato,chicken,mustard,tomato,salt,salad,water,12.28
turkey,brioche,tomato,beef,mustard,cheese,pepper,chips,water,11.87
turkey,brioche,mustard,beef,mustard,lettuce,salt,chips,water,10.66
chicken,brioche,mustard,chicken,mayo,lettuce,pepper,salad,water,7.49
turkey,brioche,cheese,beef,mustard,cheese,salt,chips,water,14.58
chicken,brioche,tomato,beef,mustard,cheese,salt,chips,soda,6.67
turkey,brioche,cheese,chicken,mayo,lettuce,pepper,chips,water,12.73
turkey,brioche,tomato,chicken,mayo,tomato,pepper,chips,soda,7.72
turkey,brioche,tomato,turkey,mustard,cheese,pepper,chips,water,14.35
turkey,brioche,tomato,beef,mustard,cheese,pepper,salad,soda,12.23
turkey,brioche,cheese,turkey,mayo,lettuce,salt,chips,soda,11.07
turkey,brioche,tomato,chicken,mustard,cheese,salt,chips,water,8.04
turkey,brioche,tomato,turkey,mustard,tomato,salt,salad,soda,10.88
chicken,brioche,cheese,beef,mustard,lettuce,pepper,salad,soda,9.77
chicken,brioche,lettuce,turkey,mayo,cheese,salt,salad,soda,13.93
chicken,brioche,tomato,turkey,mustard,tomato,salt,salad,water,10.86
chicken,brioche,cheese,beef,mayo,cheese,salt,salad,soda,12.67
chicken,brioche,lettuce,turkey,mustard,cheese,salt,salad,soda,14.34
turkey,brioche,lettuce,beef,mayo,tomato,pepper,chips,soda,6.75
chicken,brioche,lettuce,chicken,mustard,cheese,pepper,chips,soda,7.53
turkey,brioche,mayo,turkey,mayo,tomato,salt,chips,soda,9.17
turkey,brioche,tomato,chicken,mustard,tomato,pepper,chips,soda,10.11
turkey,brioche,mayo,beef,mustard,lettuce,salt,chips,water,12.27
turkey,brioche,tomato,chicken,mayo,tomato,salt,chips,water,7.31
chicken,brioche,tomato,beef,mayo,tomato,salt,salad,water,10.61
turkey,brioche,cheese,beef,mayo,tomato,salt,chips,water,9.16
turkey,brioche,lettuce,chicken,mayo,cheese,salt,chips,water,6.64
turkey,brioche,tomato,turkey,mayo,lettuce,salt,salad,soda,8.27
turkey,brioche,lettuce,beef,mayo,tomato,pepper,salad,water,6.27
chicken,brioche,mustard,chicken,mayo,lettuce,salt,salad,soda,5.3
turkey,brioche,cheese,beef,mayo,lettuce,pepper,salad,soda,5.37
chicken,brioche,mayo,beef,mustard,cheese,salt,salad,water,6.85
chicken,brioche,lettuce,turkey,mayo,tomato,pepper,chips,soda,8.5
chicken,brioche,tomato,chicken,mustard,cheese,pepper,chips,water,7.27
chicken,brioche,mayo,turkey,mustard,cheese,salt,salad,water,12.82
chicken,brioche,mayo,chicken,mayo,tomato,pepper,salad,water,6.07
turkey,brioche,mustard,chicken,mayo,tomato,salt,chips,water,5.18
turkey,brioche,lettuce,chicken,mayo,lettuce,salt,chips,water,14.92
turkey,brioche,tomato,turkey,mayo,cheese,pepper,chips,water,8.43
chicken,brioche,tomato,chicken,mustard,tomato,salt,salad,soda,6.11
chicken,brioche,cheese,beef,mayo,tomato,pepper,chips,soda,8.31
turkey,brioche,tomato,beef,mustard,lettuce,salt,chips,water,14.49
chicken,brioche,cheese,turkey,mustard,lettuce,pepper,salad,water,10.26
turkey,brioche,mustard,beef,mayo,tomato,salt,chips,soda,12.96
chicken,brioche,mustard,turkey,mustard,tomato,salt,chips,water,11.41
chicken,brioche,mayo,beef,mustard,tomato,salt,salad,water,10.91
chicken,brioche,mustard,turkey,mustard,cheese,salt,chips,soda,14.46
turkey,brioche,tomato,beef,mayo,tomato,salt,salad,water,13.11
chicken,brioche,lettuce,chicken,mustard,cheese,salt,chips,water,11.49
chicken,brioche,lettuce,turkey,mustard,lettuce,pepper,chips,soda,7.48
chicken,brioche,mustard,turkey,mayo,cheese,salt,salad,soda,13.33
chicken,brioche,tomato,turkey,mustard,lettuce,salt,salad,soda,13.62
turkey,brioche,lettuce,beef,mayo,tomato,pepper,chips,water,14.19
chicken,brioche,tomato,beef,mustard,cheese,pepper,chips,water,13.64
turkey,brioche,cheese,beef,mayo,cheese,salt,chips,soda,8.9
chicken,brioche,cheese,chicken,mustard,tomato,pepper,chips,soda,8.88
turkey,brioche,mustard,turkey,mustard,lettuce,pepper,salad,water,12.0
turkey,brioche,mustard,chicken,mayo,cheese,pepper,chips,water,14.05
turkey,brioche,mayo,chicken,mustard,lettuce,pepper,chips,soda,14.81
chicken,brioche,mustard,beef,mayo,cheese,pepper,chips,soda,14.02
turkey,brioche,tomato,chicken,mustard,tomato,salt,salad,water,9.87
turkey,brioche,mayo,chicken,mustard,cheese,salt,chips,water,9.29
turkey,brioche,cheese,chicken,mayo,cheese,salt,chips,soda,10.9
turkey,brioche,mustard,chicken,mayo,cheese,pepper,chips,soda,14.79
chicken,brioche,tomato,turkey,mustard,lettuce,pepper,chips,water,13.01
turkey,brioche,mayo,chicken,mayo,cheese,pepper,chips,water,6.43
turkey,brioche,lettuce,turkey,mustard,tomato,salt,chips,water,11.31
chicken,brioche,tomato,chicken,mustard,lettuce,pepper,chips,water,10.08
turkey,brioche,cheese,beef,mustard,tomato,salt,salad,soda,11.92
turkey,brioche,tomato,chicken,mustard,cheese,salt,chips,soda,14.89
chicken,brioche,lettuce,beef,mayo,tomato,pepper,chips,water,8.09
chicken,brioche,mustard,chicken,mustard,lettuce,salt,salad,water,14.39
turkey,brioche,cheese,turkey,mustard,cheese,pepper,salad,soda,11.77
chicken,brioche,mustard,turkey,mustard,tomato,salt,salad,soda,6.93
chicken,brioche,tomato,chicken,mustard,tomato,salt,chips,water,7.48
turkey,brioche,tomato,turkey,mustard,cheese,pepper,chips,soda,11.4
turkey,brioche,tomato,chicken,mustard,lettuce,salt,chips,soda,8.37
chicken,brioche,mayo,turkey,mustard,cheese,pepper,salad,water,6.1
chicken,brioche,lettuce,chicken,mustard,lettuce,salt,chips,soda,12.7
turkey,brioche,mayo,turkey,mayo,tomato,salt,salad,soda,13.26
turkey,brioche,mustard,beef,mustard,lettuce,salt,chips,soda,10.0
turkey,brioche,mustard,turkey,mustard,lettuce,salt,salad,water,5.46
chicken,brioche,tomato,beef,mustard,tomato,salt,salad,soda,9.18
chicken,brioche,mustard,turkey,mayo,tomato,salt,chips,soda,10.14
chicken,brioche,cheese,chicken,mayo,lettuce,pepper,salad,soda,10.85
turkey,brioche,mustard,beef,mustard,tomato,salt,chips,soda,9.24
turkey,brioche,cheese,beef,mayo,lettuce,pepper,chips,water,13.04
turkey,brioche,lettuce,beef,mustard,tomato,pepper,salad,water,10.63
chicken,brioche,cheese,turkey,mayo,lettuce,pepper,salad,water,9.17
chicken,brioche,lettuce,beef,mayo,cheese,salt,chips,soda,8.61
