speedrun_time,speedrunner_username,date_time_set
20345803,wcalabrylc,9/27/2021
42218884,icovetld,7/15/2020
21694910,lgoodsellle,5/3/2024
23334566,rkeganlf,9/20/2023
23942931,rdallicottlg,2/6/2024
26325648,wsangralh,9/21/2021
43336853,pbaystonli,3/30/2023
39803290,ccromacklj,5/22/2021
25862461,rnearslk,12/2/2020
18828374,lschwandenll,5/5/2021
34464056,fjahnckelm,3/17/2020
22369416,lgowanlockln,3/6/2023
40021920,arollandlo,8/31/2022
41735704,achifneylp,11/15/2023
19418248,nadamovlq,9/14/2024
25338434,elittelllr,12/18/2021
22680954,dstonmanls,7/22/2022
30689554,gscreatonlt,6/26/2022
37616712,qcoleshilllu,9/14/2021
37743797,sborsilv,3/25/2023
39784751,jbernardottilw,3/26/2022
42247873,jbroadstocklx,2/15/2022
21331885,spudely,7/8/2020
24822106,emichellz,9/20/2020
35380466,jollinm0,5/1/2023
19809434,mmeachanm1,2/23/2022
21322211,tbrimilcombem2,1/22/2024
40871686,tridem3,9/24/2020
22713047,ebraidm4,5/9/2022
39652748,dclaricoatsm5,5/22/2022
41205883,emorewoodm6,6/22/2021
30721835,aweiserm7,2/3/2024
19966008,nlayem8,8/25/2024
31822594,bdavallm9,7/31/2022
28676146,vbonnetma,9/1/2023
22420400,mlimpennymb,3/15/2020
18689695,pbellfieldmc,3/28/2023
28133698,gmarshfieldmd,7/24/2020
31500924,odurantme,8/28/2022
33713560,hchalmersmf,10/18/2020
36483501,drougemg,7/13/2021
24118575,blinbohmmh,1/21/2022
40937459,mvallackmi,3/19/2020
36226638,aceschinimj,7/1/2024
29090495,anicklessmk,1/1/2023
30324642,eparkesonml,8/29/2022
32197225,cdoncommm,9/24/2024
31120998,jwallachmn,7/14/2022
29980212,cfruchtermo,6/29/2023
30892332,tbraccomp,8/25/2021
21492973,ataintonmq,1/2/2023
31278714,jklejnamr,3/27/2023
27479243,deskellms,12/17/2023
39839177,lreddishmt,11/17/2024
26401668,rlegallomu,3/6/2024
37209189,mbirkmyrmv,10/9/2020
22050941,rbruyetmw,4/14/2024
38625055,ctchaikovskymx,6/1/2022
22852016,ppaudinmy,10/7/2021
41463024,lwiltonmz,10/9/2021
28241884,dolesenn0,9/23/2023
24883374,lhallihann1,6/3/2022
33736494,bockwelln2,5/13/2020
33037262,tpicklessn3,10/6/2020
40703875,scannelln4,10/7/2021
33422850,echevinsn5,1/24/2024
19148974,rrisbroughn6,11/25/2020
26642167,bcardenasn7,3/1/2024
40010141,mmacgaughien8,3/6/2022
32362602,bbustardn9,1/15/2022
34228165,agarretsonna,6/14/2023
41060300,rtomaszeknb,6/1/2022
21116835,cbahdenc,7/17/2023
38937381,ejacquotnd,8/1/2021
40152137,dquadrione,3/6/2023
35784770,rharbornf,7/21/2023
35100506,efarong,7/2/2020
28007885,hpollastrinonh,4/8/2023
34748769,lpopplestonni,12/30/2021
41701314,vcotesnj,12/29/2022
34366578,ckeddlenk,10/2/2022
20466422,ewashtellnl,4/11/2021
42372885,istradlingnm,7/1/2020
38965028,evedmorenn,1/2/2024
23662353,kshowersno,9/19/2020
31038351,cdrinp,6/26/2020
22940494,dohegertienq,12/3/2021
18563759,bkuhlenr,8/29/2023
37793003,smorsens,3/28/2022
30001877,jgodfreynt,6/2/2021
28446990,jcabrernu,11/19/2023
25211082,kjerzyknv,8/12/2022
38822923,sarrowsmithnw,12/31/2023
28535825,bhuzzeynx,6/19/2020
21359041,gscutchingsny,6/10/2023
21416842,sgorstidgenz,1/13/2020
39177636,jpowdero0,3/16/2024
36218431,ncruickshankso1,11/10/2020
36168378,gwalsheo2,7/15/2023
32786085,dpedrolio3,8/26/2024
36486673,jspearmano4,1/22/2024
38257424,fwalsheo5,10/18/2022
24266918,gjeeveso6,12/14/2022
42695638,fhartzenbergo7,4/7/2020
29081229,bedelmano8,11/27/2023
28269192,fsedcoleo9,2/26/2021
26552611,jshellidayoa,3/7/2024
38791634,gkiwitzob,5/24/2023
28797938,aiczokvitzoc,1/24/2020
25158930,hjansaod,6/12/2020
39906263,bcaddenoe,12/11/2023
28847900,cpascallof,1/22/2022
24429044,tmaleckog,6/14/2024
36730464,tarnelyoh,6/20/2023
29701875,hlambersenoi,11/8/2022
34233744,gwilberoj,10/31/2021
27605908,bbasiliook,10/4/2023
36389991,jfrankumol,8/11/2023
29080239,rosbournom,6/30/2022
18905450,ablissetton,9/19/2020
42713075,qcawcuttoo,8/3/2023
20389069,keaglestoneop,7/25/2023
25209744,gcoghlinoq,2/12/2023
42613863,lganeor,3/31/2021
43196111,chawtryos,6/6/2023
25133479,kstreeterot,6/5/2020
35980933,cmartensenou,12/16/2024
37185801,kdunicanov,12/14/2023
31882426,jeastmondow,7/12/2024
26108775,dreddinox,3/14/2020
26335063,jgoodeoy,6/10/2021
30372378,mfernanoz,8/26/2024
42530054,bsedgefieldp0,10/16/2021
36093262,dmaggip1,7/26/2020
32510886,dferreirap2,1/4/2024
39146811,dcrothersp3,7/4/2023
31431318,jhuonicp4,10/23/2022
28639414,cgibbsp5,8/13/2024
42273428,ajosephip6,11/24/2023
31423253,fhaddingtonp7,8/1/2022
20709533,tthewlesp8,4/17/2022
33241900,spankethp9,1/8/2021
24275894,ssunnuckspa,7/4/2024
20742112,lpaskpb,3/20/2023
32332004,clavillepc,11/20/2024
18927226,criddettpd,1/18/2024
40321436,esudellpe,4/17/2020
24980567,mdumbltonpf,4/19/2021
39831122,fmownepg,5/10/2024
35018839,tfromontph,7/27/2024
35832347,sfarrentpi,3/16/2021
20470078,wfrowdepj,1/11/2021
42526053,imacdonoughpk,3/28/2020
24292886,dadnamspl,6/30/2021
21173441,lravenhillspm,9/7/2023
20891453,rheinemannpn,5/20/2022
31397575,vfuloppo,2/25/2023
20841189,gmicahpp,8/25/2024
22414396,lstofferspq,9/26/2023
35595983,efernaopr,10/27/2024
37569590,dmargeramps,7/29/2023
30007301,mcornfootpt,5/5/2022
26371827,lpalfreemanpu,8/10/2023
24757772,dwartonbypv,6/1/2021
27019822,valexispw,12/20/2023
42036282,aruddypx,9/27/2021
32030058,sjouhanpy,12/4/2022
23639224,arenaultpz,5/12/2023
38738672,tgianniq0,2/10/2022
28618367,mcinelliq1,2/11/2023
23118012,aoillerq2,4/5/2021
19801098,achasteauq3,4/16/2023
27281033,dyeatesq4,3/8/2021
22637994,rhillettq5,12/6/2020
41473473,nbowndeq6,6/22/2021
37368513,eposselq7,9/11/2020
18628482,kcarseyq8,3/18/2022
26789101,nchattertonq9,2/18/2021
33804034,ksnaithqa,6/16/2020
30936255,dgiacomazzoqb,1/2/2020
38471274,edigbyqc,10/1/2022
28630202,hcossentineqd,7/2/2022
26804666,gmullinderqe,2/16/2022
22678741,mharrawayqf,1/16/2020
33149637,sessebyqg,1/22/2021
30988639,sbaskeyfiedqh,7/14/2021
37326221,kmcmanamonqi,10/10/2024
43399176,wgrichukhanovqj,6/22/2024
34174407,bpettegreeqk,3/8/2022
29915908,lginniql,12/24/2024
26469580,gchestleqm,7/29/2020
34288107,dtrebbettqn,1/26/2024
40833371,clesperqo,1/29/2021
34564074,coswellqp,2/20/2022
30190655,mhellmerqq,2/1/2020
35639753,glanceleyqr,4/30/2020
28280562,kpawelekqs,2/15/2023
43295906,kleiferqt,1/24/2020
21281866,vdunsmorequ,12/16/2023
40358680,cmacclenanqv,1/15/2023
41856755,sroddamqw,8/18/2024
41519639,ttrayfordqx,10/29/2021
37881645,rhalgarthqy,1/25/2023
29690230,cmcartqz,8/15/2022
26411893,lpurbrickr0,3/11/2021
30097369,rbradaner1,6/15/2024
28990234,khavisr2,11/4/2024
27770450,nstuddersr3,5/26/2021
32708840,ebeirner4,11/15/2023
43420870,elindborgr5,3/29/2022
25169737,csillyr6,7/4/2024
27240616,rstygallr7,7/6/2022
34216494,lmackeanr8,4/4/2021
33574807,eguymerr9,10/29/2024
40397127,tmeinsra,2/12/2021
36516874,mpetherickrb,11/15/2022
36297936,ktallentrc,11/7/2023
25002298,dlagord,8/23/2022
34692500,jhumbatchre,7/25/2020
42694628,vczaplerf,4/29/2022
27232407,fsoansrg,2/8/2023
39439726,rpaddickrh,5/22/2023
38582508,mlarderotri,4/16/2023
33953113,bsireyrj,11/25/2024
20520669,blafuenterk,2/13/2021
32265327,jmarquisrl,7/18/2023
39395590,vmcinnernyrm,9/14/2024
34066718,wickovicrn,8/30/2021
41842145,emundyro,10/23/2023
28088292,fphilorp,1/11/2021
30380328,mremonrq,12/5/2020
37473911,gitschakovrr,5/6/2024
